TTY,76.1,2020 ChinaCap Acquirco Inc
TTY/U,0,2020 ChinaCap Acquirco Inc
TTY/WS,0,2020 ChinaCap Acquirco Inc
FAX,1134.6,Aberdeen Asia-Pacific Income Fund Inc
IAF,139.1,Aberdeen Australia Equity Fund Inc
FCO,77.8,"Aberdeen Global Income Fund, Inc."
AAC,1.6,Ableauctions.Com Inc
AXK,23.5,Accelr8 Technology Corporation
ACU,24.3,Acme United Corporation.
AE,71.7,"Adams Resources & Energy, Inc."
ADK,4,Adcare Health Systems Inc
ADK/WS,0,Adcare Health Systems Inc
AEN,3.7,"Adeona Pharmaceuticals, Inc."
ADH,4.8,Adherex Technologies Inc
API,16.4,"Advanced Photonix, Inc."
AXC,203.8,Advanced Technology Acquisition Corp
AXC/U,0,Advanced Technology Acquisition Corp
AXC/WS,0,Advanced Technology Acquisition Corp
ASB,5.3,AdvanSource Biomaterials Corporation
ANX,6.8,"ADVENTRX Pharmaceuticals, Inc."
ACY,14.2,AeroCentury Corp.
AIM,2.4,Aerosonic Corporation
AA^,39.6,Alcoa Inc.
AXU,52.3,Alexco Resource Corp
ADG,50.1,Allied Defense Group (The)
ANV,290.6,Allied Nevada Gold Corp
AAU,29.2,"Almaden Minerals, Ltd."
APT,24,"Alpha Pro Tech, Ltd."
HDS,72.8,Alpha Security Group Corporation
HDS/U,0,Alpha Security Group Corporation
HDS/WS,0,Alpha Security Group Corporation
AMV,478.2,Alternative Asset Management Acquisition Corp
AMV/U,0,Alternative Asset Management Acquisition Corp
AMV/WS,0,Alternative Asset Management Acquisition Corp
AYA,70.9,Alyst Acquisition Corp
AYA/U,2.1,Alyst Acquisition Corp
AYA/WS,0.1,Alyst Acquisition Corp
DIT,9.4,AMCON Distributing Company
ADL,11,AMDL INC
APP,140.9,American Apparel Inc
ABL,6.2,American Biltrite Inc.
APO,22.5,American Community Properties Trust
EAG,22.5,"American Defense Systems, Inc"
AIP,144.2,"American Israeli Paper Mills, Ltd."
AEZ,38.3,"American Oil & Gas, Inc."
AMS,5.3,American Shared Hospital Services
AQQ,34.2,"American Spectrum Realty, Inc."
ANO,61.1,Anooraq Resources Corporation
AIS,25.2,"Antares Pharma, Inc."
PEX,80,Apex Bioventures Acquisition Corporation
PEX/U,0,Apex Bioventures Acquisition Corporation
PEX/WS,0,Apex Bioventures Acquisition Corporation
SIL,57.8,Apex Silver Mines Limited
AGT,50.6,Apollo Gold Corporation
KAD,50.6,"Arcadia Resources, Inc."
AGX,146.4,"Argan, Inc."
PCE,13.5,Arizona Land Income Corporation
HRT,5.4,Arrhythmia Research Technology Inc.
CIO,126,Asia Special Situation Acquisition Corp
CIO/U,0,Asia Special Situation Acquisition Corp
CIO/WS,0,Asia Special Situation Acquisition Corp
TYM,22.6,ASIA TIME CORP
APY,2.1,"Aspyra,  Inc."
AXG,226.5,Atlas Acquisition Holdings Corp
AXG/U,0,Atlas Acquisition Holdings Corp
AXG/WS,0,Atlas Acquisition Holdings Corp
AZC,40.8,Augusta Resource Corporation
AZK,475.4,"Aurizon Mines, Ltd."
AOG,7.1,Aurora Oil & Gas Corporation
AWX,4.7,Avalon Holdings Corporation
AFT,8.1,Axesstel Inc
BHO,17.2,B+H Ocean Carriers Ltd.
BKR,326.7,Baker (Michael) Corporation
BLD,24.3,"Baldwin Technology Company, Inc."
BTN,17.3,"Ballantyne of Omaha, Inc."
BKJ,55.7,"Bancorp of New Jersey, Inc"
BCV,57.6,"Bancroft Convertible Fund, Inc."
BNX,2.6,"Banks.com, Inc"
BAA,41.9,BANRO CORPORATION
BAA/WS,0,BANRO CORPORATION
BHB,74.6,"Bar Harbor Bankshares, Inc."
