Symbol	Description
AA.P	Alcoa Inc.
AAC	Ableauctions.Com Inc
AAU	Almaden Minerals Ltd.
ABL	American Biltrite Inc.
ACU	Acme United Corporation.
ACY	AeroCentury Corp.
ADG	Allied Defense Group (The)
ADH	Adherex Technologies Inc
ADJ	Morgan Stanley
ADK	Adcare Health Systems Inc
ADK.W	Adcare Health Systems Inc
ADL	AMDL INC
ADY	Merrill Lynch & Co., Inc.
ADZ	DB AGRICUL SHORT ETN
AE	Adams Resources & Energy Inc.
AEN	Austral Pacific Energy Ltd.
AEX	NETS AEX INDEX FUND
AEZ	American Oil & Gas Inc.
AFK	MV AFRICA ETF
AFO	Safety First Trust
AFP	United Capital Corporation
AFT	Axesstel Inc
AGA	DB AGRI DBL SHRT ETN
AGB	Citigroup Inc.
AGF	DB AGRI LONG ETN
AGG	Ishares Lehman Aggregate Bond Fund
AGQ	PROSHARES
AGT	Apollo Gold Corporation
AGX	Argan Inc.
AGZ	ISHARES
AHB	12% SPARQS LINKED TO ARCH COAL
AHY	MS APPLE SPARQS
AIA	American Insured Mortgage Investors
AIM	Aerosonic Corporation
AIP	American Israeli Paper Mills Ltd.
AIS	Antares Pharma Inc.
AKE	Safety First Trust
AKN	Safety First Trust
AMK	Morgan Stanley
AMM	Safety First Trust
AMO	MERRILL LYNCH
AMS	American Shared Hospital Services
AMV	Alternative Asset Management Acquisition Corp
AMV.U	Alternative Asset Management Acquisition Corp
AMV.W	Alternative Asset Management Acquisition Corp
ANO	Anooraq Resources Corporation
ANV	Allied Nevada Gold Corp
ANX	ADVENTRX Pharmaceuticals Inc.
ANY	Morgan Stanley
AOA	ISHARES
AOF	Morgan Stanley
AOG	Aurora Oil & Gas Corporation
AOK	ISHARES
AOM	ANORMED INC
AOR	ISHARES
API	Advanced Photonix Inc.
APO	American Community Properties Trust
APP	American Apparel Inc
APT	Alpha Pro Tech Ltd.
APY	Aspyra  Inc.
AQQ	American Spectrum Realty Inc.
AQS	ADELANTE SHS SHELTER
ASB	Ascendia Brands, Inc
ASO	AIRSHARES EU CARBON
ASY	Elecsys Corporation
ATA	Safety First Trust
ATC	Cycle Country Accessories Corporation
AUS	NETS Trust
AVN	Morgan Stanley
AWX	Avalon Holdings Corporation
AXC	Advanced Technology Acquisition Corp
AXC.U	Advanced Technology Acquisition Corp
AXC.W	Advanced Technology Acquisition Corp
AXD	Merrill Lynch & Co. Inc.
AXF	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
AXG	Atlas Acquisition Holdings Corp
AXG.U	Atlas Acquisition Holdings Corp
AXG.W	Atlas Acquisition Holdings Corp
AXK	Accelr8 Technology Corporation
AXT	MERRILL LYNCH
AXU	Alexco Resource Corp
AYA	Alyst Acquisition Corp
AYA.U	Alyst Acquisition Corp
AYA.W	Alyst Acquisition Corp
AYT	BARCLAYS GEMS ASIA-8
AZC	Augusta Resource Corporation
AZK	Aurizon Mines Ltd.
AZP	Safety First Trust
BAA	BANRO CORPORATION
BAA.W	BANRO CORPORATION
BAL	IPATH DJ-AIG COTTON
BBH	Merrill Lynch Biotech HOLDRS
BCL	BlackRock California Municipal Income Trust II
BCT	BlackRock Broad Investment Grade 2009 Term Trust Inc. (The)
BCU	Merrill Lynch & Co. Inc.
BCV	Bancroft Convertible Fund Inc.
BDD	POWERSHARES DB BASE
BDG	POWERSHARES DB BASE
BDH	Merrill Lynch Broadband HOLDRS
BDL	Flanigan's Enterprises Inc.
BDR	Blonder Tongue Laboratories Inc.
BEJ	CITIGROUP FDG INC
BFN	Merrill Lynch & Co. Inc.
BFY	BlackRock New York Municipal Income Trust II
BGD	Morgan Stanley Dean Witter & Co.
BGU	LARGE CAP BULL 3X
BGZ	LARGE CAP BEAR 3X
BHB	Bar Harbor Bankshares Inc.
BHH	Merrill Lynch B2B Internet HOLDRS
BHO	B+H Ocean Carriers Ltd.
BHV	BlackRock Virginia Municipal Bond Trust
BIK	SPDR Index Fund
BIL	SPDR Series Trust
BIR-A	Berkshire Income Realty Inc.
BIV	Vanguard Bond Index Funds
BJK	Market Vectors ETF Trust
BJT	Merrill Lynch & Co. Inc.
BJV	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
BJW	Merrill Lynch & Co. Inc.
BKF	MSCI BRIC INDEX FUND
BKJ	Bancorp of New Jersey Inc
BKR	Baker (Michael) Corporation
BLB	Merrill Lynch & Co. Inc.
BLD	Baldwin Technology Company Inc.
BLE	BlackRock Municipal Income Trust II
BLJ	Blackrock New Jersey Municipal Bond Trust
BLM	Citigroup Inc.
BLV	Vanguard Bond Index Funds
BLZ	BUFFER NOTES BASED UPON THE FI
BMJ	Birks & Mayors Inc.
BND	Vanguard Bond Index Funds
BNP	Morgan Stanley
BNV	Beverly National Corporation
BNX	Banks.com Inc
BNZ	WISDOMTREE DREYFUS
BOM	POWERSHARES DB BASE
BOS	POWERSHARES DB BASE
BPF	Merrill Lynch & Co. Inc.
BPS	BlackRock Pennsylvania Strategic Municipal Trust (The)
BPW	BPW Acquisition Corp
BPW.U	BPW Acquisition Corp
BPW.W	BPW Acquisition Corp
BPZ	BPZ RESOURCES INC
BQI	Oilsands Quest Inc
BQI.W	Oilsands Quest Inc
BQY	S&P Quality Rankings Glbl Equ Mngd Tr
BRN	Barnwell Industries Inc.
BRU	NETS BEL 20 INDEX
BSB	MERRILL LYNCH
BSC	ELEMENTS BG SM CP ET
BSL	Morgan Stanley
BSR	BEAR STEARN ALERIAN
BSV	Vanguard Bond Index Funds
BTC	Community Bankers Trust Corporation.
BTC.U	Community Bankers Trust Corporation.
BTC.W	Community Bankers Trust Corporation.
BTG	INX NTS SP BRIC 40
BTI	British American Tobacco  Industries p.l.c.
BTN	Ballantyne of Omaha Inc.
BTQ	MORGAN STANLEY
BTR	Merrill Lynch & Co. Inc.
BUF	Minrad International Inc.
BUN	Citigroup Inc.
BUS	Columbus Acquisition Corp.
BUS.U	Columbus Acquisition Corp.
BUS.W	Columbus Acquisition Corp.
BUW	CITIGROUP INC
BVL	ELEMENTS BG LG ETN
BVX	Bovie Medical Corporation
BWL.A	Bowl America Inc.
BWN	MORGAN STANLEY
BWR	Merrill Lynch & Co. Inc.
BWV	Barclays Bank PLC
BWX	SPDR Series Trust
BWZ	SPDR BARCLAY TSY BD
